Network,Station,Latitude,Longitude,Elevation,SiteName,StartTime,EndTime
IU,AAE,9.0292,38.7656,2442.0,"Addis Ababa, Ethiopia",1994-12-12T00:00:00.0000,1997-09-16T00:00:00.0000
IU,AAE1,9.0292,38.7656,2442.0,"Addis Ababa, Ethiopia",1994-12-11T23:59:59.0000,1997-09-15T23:59:59.0000
IU,ADK,51.8823,-176.6842,130.0,"Adak, Aleutian Islands, Alaska",1993-09-21T00:00:00.0000,2009-02-14T00:00:00.0000
IU,ADK,51.8823,-176.6842,130.0,"Adak, Aleutian Islands, Alaska",2009-07-19T00:00:00.0000,
IU,AFI,-13.90853,-171.78265,706.0,"Afiamalu, Samoa",1993-08-24T00:00:00.0000,
IU,ANMO,34.9459,-106.4572,1850.0,"Albuquerque, New Mexico, USA",1989-08-29T00:00:00.0000,2000-10-19T16:00:00.0000
IU,ANMO,34.9502,-106.4602,1839.0,"Albuquerque, New Mexico, USA",2000-10-19T16:00:00.0000,2002-11-19T21:07:00.0000
IU,ANMO,34.94591,-106.4572,1820.0,"Albuquerque, New Mexico, USA",2002-11-19T21:07:00.0000,
IU,ANTO,39.868,32.7934,1090.0,"Ankara, Turkey",1992-09-25T00:00:00.0000,1998-06-09T00:00:00.0000
IU,ANTO,39.868,32.7934,1090.0,"Ankara, Turkey",2002-05-30T00:00:00.0000,
IU,BBSR,32.371299,-64.696299,30.0,"Bermuda Institute of Ocean Sciences, St George's Bermuda",2002-07-10T00:00:00.0000,2008-07-31T00:00:00.0000
IU,BBSR,32.371299,-64.696299,30.0,"Bermuda Institute of Ocean Sciences, St George's Bermuda",2008-08-01T00:00:00.0000,
IU,BILL,68.0653,166.4531,320.0,"Bilibino, Russia",1995-08-16T00:00:00.0000,
IU,BOCO,4.5869,-74.0432,3160.0,"Bogota, Colombia",1994-06-06T00:00:00.0000,1996-08-22T00:00:00.0000
IU,CASY,-66.2792,110.5354,10.0,"Casey, Antarctica",1996-02-19T00:00:00.0000,
IU,CCM,38.0557,-91.2446,222.0,"Cathedral Cave, Missouri, USA",1989-07-28T00:00:00.0000,
IU,CHTO,18.8141,98.9443,420.0,"Chiang Mai, Thailand",1992-08-31T00:00:00.0000,2009-09-19T07:28:36.0000
IU,CHTO,18.8141,98.9443,420.0,"Chiang Mai, Thailand",2009-09-19T14:35:27.0000,
IU,COL,64.8993,-147.7954,320.0,"College Outpost, Alaska, USA",1991-03-04T00:00:00.0000,1996-05-11T00:00:00.0000
IU,COL,64.8993,-147.7954,320.0,"College Outpost, Alaska, USA",1997-08-22T00:00:00.0000,1997-10-30T00:00:00.0000
IU,COLA,64.873599,-147.8616,200.0,"College Outpost, Alaska, USA",1996-06-14T00:00:00.0000,2009-07-08T22:00:00.0000
IU,COLA,64.873599,-147.8616,200.0,"College Outpost, Alaska, USA",2009-07-09T00:00:00.0000,
IU,COR,44.5855,-123.3046,110.0,"Corvallis, Oregon, USA",1989-10-26T00:00:00.0000,
IU,CTAO,-20.0882,146.2545,357.0,"Charters Towers, Australia",1991-06-17T00:00:00.0000,2019-02-04T00:00:00.0000
IU,CTAO,-20.08765,146.24998,367.0,"Charters Towers, Australia",2019-05-17T00:00:00.0000,
IU,DAV,7.0697,125.5791,150.0,"Davao, Philippines",1994-12-18T00:00:00.0000,2011-07-22T00:00:00.0000
IU,DAV,7.0697,125.5791,151.0,"Davao, Philippines",2011-07-27T00:00:00.0000,
IU,DWPF,28.1103,-81.4327,30.0,"Disney Wilderness Preserve, Florida, USA",1998-08-02T00:00:00.0000,
IU,FUNA,-8.5259,179.1966,20.0,"Funafuti, Tuvalu",2004-01-21T20:24:00.0000,
IU,FURI,8.8952,38.6798,2570.0,"Mt. Furi, Ethiopia",1997-09-01T00:00:00.0000,
IU,GNI,40.148,44.741,1609.0,"Garni, Armenia",1991-07-10T00:00:00.0000,
IU,GRFO,49.6909,11.2203,384.0,"Grafenberg, Germany",1994-01-26T00:00:00.0000,2013-11-20T00:00:00.0000
IU,GRFO,49.6909,11.2203,384.0,"Grafenberg, Germany",2015-01-19T00:00:00.0000,
IU,GUMO,13.5893,144.8684,170.0,"Guam, Mariana Islands",1991-06-09T00:00:00.0000,2010-01-11T12:00:00.0000
IU,GUMO,13.5893,144.8684,170.0,"Guam, Mariana Islands",2010-01-12T00:00:00.0000,
IU,HKT,29.9618,-95.8384,-413.0,"Hockley, Texas",1995-07-11T00:00:00.0000,2018-01-26T16:50:00.0000
